detected_area,cafes,rating,sentiment,reviews,comp,rent,utility,opportunity_score
Palm Jumeirah,8,4.7375,0.4271937251560597,721.125,40.375,280.0,1803.6200000000001,0.8843500170409349
Bluewaters,52,4.680769230769231,0.4041565240520795,1133.0192307692307,50.40384615384615,270.0,2114.241875,0.5659825200462714
Sheikh Zayed Road,107,4.521495327102804,0.37924286948693786,3285.2523364485983,29.962616822429908,200.0,2146.7666666666664,0.5168653743210655
Jvc,37,4.678378378378378,0.35874462210916136,483.5945945945946,5.72972972972973,155.0,1332.308888888889,0.5136698178621467
Jbr,56,4.667857142857143,0.38826812356847556,1788.9285714285713,56.17857142857143,260.0,2433.634090909091,0.4990077113777934
Al Quoz,73,4.6194444444444445,0.3826476127325188,504.19444444444446,7.904109589041096,115.0,2188.0725806451615,0.4468594955165236
City Walk,20,4.58,0.40274282241188786,1240.7,20.35,290.0,2439.96,0.39533930175992377
Umm Suqeim,67,4.54179104477612,0.39938914797410174,806.5970149253732,13.82089552238806,160.0,1841.0762162162164,0.35731152230242436
Dubai Marina,143,4.591608391608392,0.40152578449344395,1245.3496503496503,41.11188811188811,240.0,2355.8846590909093,0.35563547919969757
Internet City,16,4.586666666666667,0.39605628363016826,186.8,18.9375,185.0,1987.11,0.2828517839843376
Dubai Mall,32,4.634375,0.38978990319442963,3826.71875,136.78125,450.0,2439.96,0.24516104264839567
Jumeirah,316,4.543670886075949,0.392533362420469,1046.0727848101267,32.87341772151899,170.0,2100.417921348315,0.23067377836530117
Al Wasl,49,4.595833333333333,0.35994279329625434,895.3541666666666,15.510204081632653,155.0,2177.420666666667,0.2299903765391566
Media City,19,4.531578947368421,0.4012691592495167,419.94736842105266,18.263157894736842,185.0,1946.755,0.20897862053087576
Difc,84,4.582142857142857,0.4061748581035847,801.6666666666666,58.154761904761905,310.0,2439.96,0.11715160026657906
Jlt,76,4.571052631578947,0.37909525941199734,725.4078947368421,35.276315789473685,190.0,2349.2228571428573,0.10452109456330756
Business Bay,111,4.5477477477477475,0.38531148808964033,508.43243243243245,22.90990990990991,210.0,2282.539166666667,0.09141204496269324
Bur Dubai,24,4.4624999999999995,0.3728034655116465,1362.6666666666667,27.125,95.0,2428.6042857142857,-0.024908657551232477
Al Barsha,122,4.522314049586777,0.3511303449961091,856.3140495867768,20.442622950819672,135.0,1772.664117647059,-0.03254865881962227
Mirdif,101,4.473,0.35605929261929453,1214.5,22.396039603960396,125.0,1543.0865079365078,-0.05530855746467382
Barsha Heights,47,4.406382978723404,0.399141263152064,781.6382978723404,29.659574468085108,150.0,1980.0494736842106,-0.14376467157989986
Downtown Dubai,191,4.548148148148148,0.3975193164658821,1719.1904761904761,107.10994764397905,340.0,2439.96,-0.1440472904171881
Dubai Silicon Oasis,80,4.4192307692307695,0.36438935844489334,582.4358974358975,14.9875,95.0,1403.841625,-0.21167305718059415
Oud Metha,86,4.437647058823529,0.3507325200813155,1155.9529411764706,34.68604651162791,100.0,2264.858,-0.3221130791254179
Mall Of The Emirates,65,4.506153846153846,0.3838493396693433,1046.7692307692307,72.63076923076923,380.0,2439.96,-0.3434807356596622
Satwa,30,4.569999999999999,0.2871756252568044,587.0,13.9,90.0,2439.96,-0.375205649524942
Motor City,53,4.430188679245283,0.3302550558422607,832.188679245283,22.867924528301888,105.0,1540.1628571428573,-0.42487589724255287
Karama,80,4.41875,0.3295189750167329,1042.2625,44.2875,85.0,2439.96,-0.603503008356995
Dubai Design District,13,4.392307692307693,0.31998483832073304,915.1538461538462,9.692307692307692,200.0,1880.275,-0.6224338979315374
Deira,301,4.281756756756757,0.3028018331294209,1194.793918918919,37.308970099667775,105.0,2434.818440860215,-1.1412007338216175
International City,90,4.163636363636363,0.2753920573539228,901.2159090909091,22.58888888888889,60.0,2135.115777777778,-1.6006976866114986
